,PRNAME,PCNAME,year,area_type,conn_type,avg_d_kbps,avg_u_kbps,avg_lat_ms
2314,Saskatchewan,Meadow Lake,2022,Rural,fixed,93042.79551587302,8416.113988095238,41.394305555555555
2317,Saskatchewan,Melfort,2022,Rural,mobile,44853.64035087719,9756.526315789473,42.438596491228076
2325,Saskatchewan,Nipawin,2022,Rural,mobile,44863.055555555555,8732.172222222222,38.60555555555556
2327,Saskatchewan,North Battleford,2022,Rural,mobile,64549.57232704403,9820.943396226416,41.23899371069182
2328,Saskatchewan,Osler,2022,Rural,fixed,22078.478273809524,4648.211607142857,30.904761904761905
2331,Saskatchewan,Outlook,2022,Rural,mobile,29686.666666666668,13636.0,30.666666666666668
2332,Saskatchewan,Oxbow,2022,Rural,fixed,84642.13333333333,8340.408333333333,33.46666666666667
2333,Saskatchewan,Oxbow,2022,Rural,mobile,8681.5,255.33333333333334,47.666666666666664
2339,Saskatchewan,Prince Albert,2022,Rural,mobile,46493.482931920356,9581.788953114965,37.492999357739244
2341,Saskatchewan,Prince Albert,2022,Urban,mobile,65864.77121212121,8260.874242424243,40.915151515151514
2346,Saskatchewan,Regina Beach,2022,Rural,fixed,86652.54850427351,7533.983760683761,20.516666666666666
2347,Saskatchewan,Regina Beach,2022,Rural,mobile,78045.83333333333,6790.5,31.833333333333332
2348,Saskatchewan,Rosetown,2022,Rural,fixed,48656.476851851854,6496.708730158731,30.963723544973547
2349,Saskatchewan,Rosetown,2022,Rural,mobile,48516.93518518519,7308.6296296296305,37.851851851851855
2351,Saskatchewan,Rosthern,2022,Rural,mobile,34018.0,3852.0,40.0
2356,Saskatchewan,Shaunavon,2022,Rural,fixed,64734.764285714286,6172.192857142857,41.4
2358,Saskatchewan,Shellbrook,2022,Rural,fixed,45747.39642857143,5236.900892857143,36.30535714285715
2359,Saskatchewan,Shellbrook,2022,Rural,mobile,12730.0,2255.5,43.833333333333336
2360,Saskatchewan,Stanley 157,2022,Urban,fixed,26248.183333333334,21381.050000000003,27.366666666666667
2361,Saskatchewan,Stanley 157,2022,Urban,mobile,16503.222222222223,3738.7777777777774,28.444444444444443
2363,Saskatchewan,Swift Current,2022,Rural,mobile,51902.166666666664,8383.081790123457,45.24074074074074
2366,Saskatchewan,Unity,2022,Rural,fixed,57466.70535714286,5917.279563492063,36.88968253968254
2367,Saskatchewan,Unity,2022,Rural,mobile,28267.606060606064,6064.166666666666,54.8939393939394
2368,Saskatchewan,Wadena,2022,Rural,fixed,62587.2443452381,4992.8449404761905,67.30386904761906
2369,Saskatchewan,Wadena,2022,Rural,mobile,49464.666666666664,10169.916666666666,31.25
2372,Saskatchewan,Watrous,2022,Rural,fixed,45982.02291666667,5072.243402777778,28.045833333333334
2373,Saskatchewan,Watrous,2022,Rural,mobile,39839.63888888889,8400.5,39.80555555555556
2380,Saskatchewan,Wynyard,2022,Rural,fixed,68943.94196428571,5530.678571428572,28.424107142857142
2381,Saskatchewan,Wynyard,2022,Rural,mobile,1958.25,1414.0,73.0
2389,Yukon,Whitehorse,2022,Urban,mobile,38475.526041666664,9746.927083333334,121.421875
